SARL_v60h4k6xm9,SARL_v63vmvzctf,SARL_v646shwf11,SARL_v65sf7npah,SARL_v67aa64utj,SARL_v68f0quk5p,SARL_v6a4ndkf8v,SARL_v6aj88rev9,SARL_v6evvdhzk7,SARL_v6f933l72m,SARL_v6ftpqxgnv,SARL_v6gnqw5ox5,SARL_v6j50z1e9w,SARL_v6k3hhcfwz,SARL_v6k5sw88ad,SARL_v6ktf02s20,SARL_v6kya2dxyh,SARL_v6lgpkenjy,SARL_v6n4gu2b5u,SARL_v6nat83vj0,SARL_v6ne1kg4lj,SARL_v6nw0j2uax,SARL_v6o7dfb9xv,SARL_v6ps9ech69,SARL_v6rt2s4yzx,SARL_v6tg11awsr,SARL_v6uxzaglpt,SARL_v6vxrt8tgj,SARL_v6xuywyznv,SARL_v6yyllsbjc
NaN,-0.5,0.5,-0.5,NaN,-0.5,0.5,-0.5,0.5,0.5,-0.5,0.5,0.5,0.5,NaN,0.5,-0.5,-0.5,0.5,0.5,0.5,0.5,0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,-0.5
NaN,0.502262249970742,-0.5,-0.49999999999083,-0.5,0.545184014141062,0.452728730799165,-0.499999999934282,-0.584243721754366,-0.999999995318407,-0.5,0.368058871924272,0.324718994018462,0.0973199394775282,-0.5,-0.563145320924982,-0.49999999980927,0.5,-0.999999994805307,0.458487765889014,-0.577085847484349,-0.971274413799845,0.220370622006745,-0.5,0.5,0.505280911140107,-0.5,0.793937296918538,-0.5,-0.326561213473133
0.5,0.5,0.337714788372785,0.5,-0.41356666885102,0.29525435420693,-0.5,0.5,0.453636986327309,-0.899412126620455,-0.456574513102808,0.270934666404335,0.210884850152724,0.0189423412398195,-0.450541128847457,0.43697195959161,-0.49999999961854,5.48278072942665e-08,0.5,0.420422062939798,0.5,0.5,0.0971264220872792,-0.494708025756983,-0.509643772917261,-0.496637358591033,0.999999988822713,0.5,-0.999999993429472,0.5
NaN,-0.524137685806212,0.228102556571349,-0.519232725590134,-0.342074779169058,0.15990038485537,0.409926607382046,0.500000000131437,0.377204850220015,-0.808942177299067,-0.456574513102808,0.199439815363917,0.136956632790654,0.00368693500604389,-0.405974617566281,-0.5,0.5,5.99520433297585e-15,5.1946927870361e-09,0.385516744735437,0.422914152515651,-0.5260614906458,-0.957192379902673,0.510527938503256,0.514359662351642,0.508608036928121,-0.0425606227192993,-0.712784268712548,-3.73111103124657e-09,0.360502193773433
0.424051093651952,0.473718972729394,0.154067213239569,0.50000000001834,0.5,0.0865969721109543,0.371171105361763,-0.51522189528923,0.31365056932735,-0.727572407403733,-0.416920572030133,0.146811186919256,0.0889448400478738,-0.999282375416709,-0.365816524963453,0.381786490344349,0.50000000057219,0,-0.0221641587545958,0.353509422013112,-0.0941078394168064,0.0287255862001545,-0.5,-0.567241258413291,-0.476450771554114,-0.493322864043484,-9.51424626582931e-10,-0.293756506249702,-2.78423791219296e-17,0.259923663430915
-0.640361339945166,-0.521766224877452,0.104061552628771,-0.519232725580612,0.211196761665277,0.0468981709179018,0.336079646879509,-0.515221895416666,-0.5,-0.5,0.583079427969867,0.10807031968673,0.0577641579669572,-0.5,-0.329630780216176,-0.499895870113598,0.479335578803144,-1,-1,0.324159490239016,0.357712760796062,-0.998349681394915,0.285113760958173,-0.561237606155091,-0.454010675429021,0.51188752437331,-1.11772874289429e-08,-0.819119386126458,-2.07766012882479e-25,0.187406101760944
NaN,-0.551180669752415,0.0702862504475378,-0.5192327255725,0.0892081442758,0.0253985605019382,0.304305823958383,-0.515221895221511,-0.739195613253673,-0.654387449276932,0.619289385645596,0.0795524799047864,-0.962485761469292,0.123246342533841,0.702975552357072,0.333570429429116,0.479335579351686,-0.346150547225715,0.977835841130268,0.297246320942816,0.3025635781522,0.459274007305831,0.12566139369007,-0.555297496243121,-0.432627473203924,-0.5,-2.12686931098852e-17,0.87893548054884,1,0.135120621622695
NaN,0.480594506376475,-0.952526587609187,-0.519232725562977,0.0376809423704356,0.0137550540446424,0.275535978910946,-0.515221895153792,0.30873173658046,-0.588564010143317,0.426278974235312,-0.941440007974932,0.0595393758039849,0.0239886531924403,-0.402784340526503,-0.499791761913263,0.45952519421309,-0.173075273612858,1.01591135504009e-08,-0.727432396784399,0.255916838472681,-0.973614169827292,-0.94461584102057,-0.54942025614846,-0.412251386807033,-0.494719088859893,1,-0.682035221446178,-0.999999986858943,0.0974225610380228
0.359638660646408,-0.544666528279892,-4.09973910375783e-09,0.480767274428911,0.0159161860102639,0.00744930059152737,0.249486108043716,-0.515221895086073,0.256714315554007,0.47063838950648,-0.547248571284762,0.816519320236168,0.0386671324311143,-0.995330851446329,-0.362941822925778,-0.708556394205655,-0.559466450114482,0.880179798655338,1.11022302462516e-16,-0.5,-0.783538294285683,0.472671251073679,0.294506642441939,0.505291974243017,0.607165017363071,-0.489493953764725,1,NaN,-7.46222195147084e-09,0.0702420939544667
-0.5,-0.542202184604562,-3.36157217760098e-17,-0.519232725553454,-0.282941453837791,0.00403430470886046,0.22589905809331,0.484778104651053,0.213461176814218,-0.999999995593325,0.311644958059642,-0.398945640179005,-0.97488809531078,-0.873286656367344,-0.5,0.291591169588021,0.440533550098931,9.65166567779008e-08,0,-0.487715376395919,0.872225083500154,-0.284925339336191,0.129801223960096,-0.543605220460202,-0.404545705738437,-0.484324005617822,0.957439387982276,-0.281084042655926,-5.5684756589498e-17,0.0506448579316496
