"rt","responses","time_elapsed","subject","demoID","trialType","rlType","attType","stimulus","key_press","stim","corrresp","phase","corr","pracCounter","reward","bandOne","bandTwo","trialNum","attentionNum","attentionRunNum","blockNum","performance","bandChosen","circleVal","squareVal","coin","bandOneVal","bandTwoVal","pReward","shapeChosen","rlNum","badFlag"
"333","","2305956","SARL_v646shwf11","msl000173","freq","","","img/orange_2bandit_a2.png","70","","70","test","1","","","square","circle","1791","1722","10","70","0.9581881533101045","","","","","","","","","",""
"null","","2306431","SARL_v646shwf11","msl000173","freq_resp","","","img/orange_2bandit_a.png","70","img/orange_2bandit_a.png","70","test","","","","","","","","","70","","","","","","","","","","",""
"null","","2306589","SARL_v646shwf11","msl000173","fixation","","","img/fixation.png","null","","","test","","","","","","","","","","","","","","","","","","","",""
"264","","2306859","SARL_v646shwf11","msl000173","freq","","","img/orange_2bandit_a2.png","70","","70","test","1","","","square","circle","1792","1723","11","70","0.9582124201973302","","","","","","","","","",""
"null","","2307403","SARL_v646shwf11","msl000173","freq_resp","","","img/orange_2bandit_a.png","70","img/orange_2bandit_a.png","70","test","","","","","","","","","70","","","","","","","","","","",""
"null","","2307559","SARL_v646shwf11","msl000173","fixation","","","img/fixation.png","null","","","test","","","","","","","","","","","","","","","","","","","",""
"257","","2307823","SARL_v646shwf11","msl000173","freq","","","img/orange_2bandit_a2.png","70","","70","test","1","","","square","circle","1793","1724","12","70","0.9582366589327146","","","","","","","","","",""
"null","","2308373","SARL_v646shwf11","msl000173","freq_resp","","","img/orange_2bandit_a.png","70","img/orange_2bandit_a.png","70","test","","","","","","","","","70","","","","","","","","","","",""
"null","","2308529","SARL_v646shwf11","msl000173","fixation","","","img/fixation.png","null","","","test","","","","","","","","","","","","","","","","","","","",""
"262","","2308796","SARL_v646shwf11","msl000173","freq","","","img/orange_2bandit_a2.png","70","","70","test","1","","","square","circle","1794","1725","13","70","0.9582608695652174","","","","","","","","","",""
"null","","2309341","SARL_v646shwf11","msl000173","freq_resp","","","img/orange_2bandit_a.png","70","img/orange_2bandit_a.png","70","test","","","","","","","","","70","","","","","","","","","","",""
"null","","2309498","SARL_v646shwf11","msl000173","fixation","","","img/fixation.png","null","","","test","","","","","","","","","","","","","","","","","","","",""
"335","","2309839","SARL_v646shwf11","msl000173","freq","","","img/orange_2bandit_a2.png","70","","70","test","1","","","square","circle","1795","1726","14","70","0.9582850521436849","","","","","","","","","",""
"null","","2310311","SARL_v646shwf11","msl000173","freq_resp","","","img/orange_2bandit_a.png","70","img/orange_2bandit_a.png","70","test","","","","","","","","","70","","","","","","","","","","",""
"null","","2310468","SARL_v646shwf11","msl000173","fixation","","","img/fixation.png","null","","","test","","","","","","","","","","","","","","","","","","","",""
"268","","2310743","SARL_v646shwf11","msl000173","freq","","","img/orange_2bandit_a2.png","70","","70","test","1","","","square","circle","1796","1727","15","70","0.95830920671685","","","","","","","","","",""
"null","","2311282","SARL_v646shwf11","msl000173","freq_resp","","","img/orange_2bandit_a.png","70","img/orange_2bandit_a.png","70","test","","","","","","","","","70","","","","","","","","","","",""
"null","","2311439","SARL_v646shwf11","msl000173","fixation","","","img/fixation.png","null","","","test","","","","","","","","","","","","","","","","","","","",""
"201","","2311646","SARL_v646shwf11","msl000173","infreq","","","img/green_2bandit_a2.png","70","","68","test","0","","","square","circle","1797","1728","16","70","0.9577546296296297","","","","","","","","","",""
"null","","2312252","SARL_v646shwf11","msl000173","infreq_resp","","","img/green_2bandit_a.png","70","img/green_2bandit_a.png","68","test","","","","","","","","","70","","","","","","","","","","",""
"null","","2312407","SARL_v646shwf11","msl000173","fixation","","","img/fixation.png","null","","","test","","","","","","","","","","","","","","","","","","","",""
"219","","2312632","SARL_v646shwf11","msl000173","freq","","","img/orange_2bandit_a2.png","70","","70","test","1","","","square","circle","1798","1729","17","70","0.9577790630422209","","","","","","","","","",""
"null","","2313221","SARL_v646shwf11","msl000173","freq_resp","","","img/orange_2bandit_a.png","70","img/orange_2bandit_a.png","70","test","","","","","","","","","70","","","","","","","","","","",""
